location,business_name,position,start_date,end_date,experience,wage,pay_frequency,tips,employment_type,benefits,gender,race,sexuality,notes
Seattle,Seattle Coffee Works ,Coffee Bar Professional,2019,Current,4,17.5,Hourly,0,FT,PTO / Health Insurance / Bus Pass / Profit Sharing / Annual Coffee Farm Trip,,,,
Seattle,Seattle Coffee Works,Coffee Bar Professional,2018,Current,0,20.5,Hourly,0,FT,"Paid time off, medical and dental, 401k (not matching)",,,,
Seattle,Seattle Coffee Works,Coffee Bar Professional,2018,Current,4,21.75,Hourly,0,FT,"PTO, $20/month orca ",,,,
Seattle,Seattle Coffee Works,Coffee Bar Professional,2017,Current,7,22.25,Hourly,0,FT,"PTO, 401k, Health Insurance, Dental",,,,
Seattle,Starbucks,Shift Supervisor,2015,2018,0,19.5,Hourly,0,FT,"PTO, college education",,,,
Seattle,Seattle Coffee Works ,Roastery Operations Manager,2017,2018,8,45000,Hourly,0,FT,"PTO, Health & Dental Insurance",,,,
Seattle,Colectivo,Barista,2016,Current,0,11,Hourly,0,FT,"Pto, health insurance ",,,,
Seattle,Stumptown Coffee,Manager,2017,,9,60900,Salary,0,FT,"PTO, Health Insurance, bags of coffee, discounts on merch, staff parties & events",,,,
Seattle,Ada’s Discovery Café,Barista and Social Media Assistant,2019,Current,2,17.1,Hourly,0,FT,"PTO, Health insurance, orca cards, 8 weeks paid parental leave, education credits",,,,
Seattle,Caffe Ladro,Head Roaster,2014,2017,0,22,Hourly,0,FT,"PTO, Heath, Paid professional advancement (ie SCA, roaster guild)",,,,
Seattle,Compass at Google,Supervisor,2013,2017,6,17,Hourly,0,FT,"Vacation & sick time, paid holidays, health/dental/vision insurance, free food, regular & consistent hours, no weekends, gym access, etc.",,,,
"Washington, D.C.",Peet's Coffee,Store Manager,2019,Current,,17.5,Hourly,0,FT,"Health, Dental, Vision, Life",,,,
"Washington, D.C.",Bug Bear Cafe,Barista,2010,Current,,26,Hourly,0,FT,None,,,,
Philadelphia,Armstrong & 192,Barista,2017,Current,,9.69,Hourly,0.49,PT,"PTO, Health care, Tuition reimbursement",,,,
Philadelphia,Starbucks,Shift Supervisor,2017,Current,,14.94,Hourly,0.8,FT,Yes,,,,
Philadelphia,Starbucks,Barista,2017,2019,,12,Hourly,2,PT,Health insurance options were more expensive than government assistance,,,,
Philadelphia,Saxbys,Team Lead,2017,2019,,11,Hourly,2,PT,None,,,,
Philadelphia,Saxbys,Team Lead,2018,Current,,10,Hourly,2,PT,None,,,,
Seattle,Atulea ,Barista,2019,Current,0,13,Hourly,2,PT,None,,,,
Seattle,Starbucks,Shift Supervisor,2019,Current,4,11.19,Hourly,2,FT,"PTO, 401k, health insurance, college reimbursement",,,,
Chicago,Starbucks,Barista,2019,Current,,13.05,Hourly,3,FT,"Medical, Stock holding, eligible",,,,
Chicago,Argo Tea,Tea Mixologist,2019,Current,,13,Hourly,3,PT,None,,,,
Philadelphia,Starbucks,Barista,2019,Current,,12,Hourly,3,PT,"Health insurance, 401k",,,,
Philadelphia,Saxbys,Host,2019,Current,,8.75,Hourly,3,PT,None,,,,
Philadelphia,Saxbys,Barista,2018,2019,,9,Hourly,3,PT,None,,,,
Philadelphia,Starbucks,Barista,2019,Current,,12,Hourly,3,PT,"PTO, health care",,,,
Philadelphia,Starbucks,Barista,2019 (started at the company in 2017 in a different state),Current,,12.8,Hourly,3,FT,Yes,,,,
San Francisco,Wrecking Ball Coffee Roasters,Manager,2019,Current,6,42000,Salary,3,FT,"Paid time off, health insurance. ",,,,
New York,Starbucks,Barista,2014,Current,1,15.83,Hourly,4,FT,Full benefits including school,,,,Raises went from growth to everyone gets one annually 
Philadelphia,Starbucks,Shift Supervisor,2016,2019,,15.23,Hourly,4,FT,Yes,,,,
San Francisco,Sightglass,Barista,2019,2019,4,14.5,Hourly,4,PT,part time n/a,,,,
"Washington, D.C.",Starbucks,Barista,2016,Current,,16,Hourly,4,FT,"Health care, stock plans, 401k, college achievement plan",,,,
Chicago,Starbucks,Shift Leader,2008,,,16.83,Hourly,5,FT,"Free spotify, Bad health insurance",,,,
Chicago,Starbucks Reserve Roastery,Barista,2017,Current,,13.02,Hourly,5,PT,"Medical, College tuition",,,,
Chicago,Starbucks,Barista,2019,2019,,12.05,Hourly,5,FT,Starbucks Benefits,,,,
"Greenville, NC",Starbucks,Barista,2019,Current,,9.25,Hourly,5,,Health insurance,,,,
Philadelphia,Starbucks,Shift Supervisor,2018,Current,,14.65,Hourly,5,FT,"Healthcare, PTO after a year, 401k, stock",,,,
Philadelphia,Coffee Prose,Barista,2019,2019,,7.25,Hourly,5,PT,None,,,,
Philadelphia,Bluestone Lane,Barista,2019,Current,,10,Hourly,5,PT,None,,,,
Philadelphia,TABLEAU CAFÉ,Barista,2019,Current,,10,Hourly,5,PT,None,,,,
Philadelphia,Barnes & Noble Cafe,Barista,2019,Current,,9,Hourly,5,PT,None,,,,
Philadelphia,Starbucks,Barista,2019,2019,,9.25,Hourly,5,FT,"PTO, health care",,,,
San Francisco,1 Oz Coffee,Barista,2019,Current,1,16.25,Hourly,5,FT,None,,,,
Seattle,Kings Peak Coffee Roasters,Barista,2019,Current,7,12,Hourly,5,PT,None,,,,
Seattle,Queen Anne Coffee Co,Barista,2019,2019,2,13,Hourly,5,PT,None,,,,
Chicago,Starbucks,Barista,2018,Current,,13.09,Hourly,6,PT,Full benefits at 20/hrs a week,,,,
San Francisco,Starbucks,Shift Supervisor,2015,Current,0,14.8,Hourly,6,FT,"PTO, health insurance, college assistance. Offers up to 10,000 in adoption assistance. ",,,,
Seattle,Cherry Street Coffee,Barista,2018,2019,8,12,Hourly,6,FT,Dental and health after 1 year but less than 20 people company wide (of 90 or so employees) were there more than a year. PTO was state mandated Sick & Family leave,,,,
Seattle,Starbucks,Shift Supervisor,2019,Current,6,35600,Salary,6,FT,"Health Insurance, Vision, Dental, accumulated PTO/Sick Leave, Maternity Leave",,,,
Portland,Starbucks,Shift Supervisor,2013,2018,2.5,15.1,Hourly,6.4,FT,"Pto, healtj care, shift meal, company discounts, stocks, 401k, etc.",,,,
"Washington, D.C.",Commonwealth Joe,Barista,2019,Current,,11,Hourly,6.5,FT,Company insurance policy (matched),Non-binary / non-comforming ,,Queer,
Chicago,Starbucks,Shift Supervisor,2018,2019,,15.38,Hourly,7,PT,"Yes, eligible",,,,
New York,Mystic Coffee Roaster,Barista,2019,Current,0,13.5,Hourly,7,FT,None,Female,,,
Philadelphia,Capofitto,Barista,2018,2018,,8,Hourly,7,PT,None,,,,
Philadelphia,Saxbys,Host,2019,Current,,8.75,Hourly,7,PT,None,,,,
Philadelphia,Starbucks,Barista,2017,2019,,12.24,Hourly,7,PT,"PTO, health care, ASU",,,,
Portland,Starbucks,Supervisor,2018,Current,12.02,15.27,Hourly,7,FT,"Pto, health care, free coffee, meal, spotify",,Caucasian ,,
San Francisco,Simply SF ,Barista,2019,Current,2,,Hourly,7,PT,Paid gym membership ,,,,
Seattle,Starbucks Reserve Roastery,Barista,2018,,3,16.5,Hourly,7,FT,Health insurance ,,,,
Seattle,Hood Famous Cafe + Bar,Barista,2019,Current,4,13,Hourly,7,FT,"Health insurance, PTO after one year, discounted orca cards",,,,
Seattle,Starbucks,Barista,2013,Current,0,17.66,Hourly,7,PT,"health insurance, PTO, paid sick time, EAP",,,,
Seattle,Fuel,Lead Barista,2017,2019,7,14,Hourly,7,FT,None,,,,
Seattle,Starbucks,Shift Supervisor,2014,Current,8,21.63,Hourly,7,FT,"Pto, health benefits, free beverages and whole bean coffee, stock options",,,,
New York,Joe Coffee,Educator ,2015,2019,3,14,Hourly,7.5,FT,Very expensive health insurance that did not include mental health coverage. Also included dental and vision. No PTO even after four years.  ,,,,refused to give me a raise or performance review in the four years I worked for them despite performing duties that were asked of me outside of my job description. Cut my shifts during slow season and I was forced to find a new job or “try and find shifts to cover”
Seattle,Espresso Buono,Barista,2008,2010,0,10.25,Hourly,7.5,PT,None,,,,
Denver,Dutch Bros,Barista,2018,Current,3,10.5,Hourly,8,PT,"Fuck no, those assholes.",,,,
New York,Devocion,Barista,2018,Current,2,15,Hourly,8,FT,"Commuter Benefits, PTO",Non-binary / non-comforming ,Hispanic or Latinx,Queer,
New York,Neat Coffee Darien,Barista,2017,Current,2,11.5,Hourly,8,PT,None,Male,Caucasian ,Queer,
Philadelphia,Starbucks,Barista,2014,Current,,12.46,Hourly,8,FT,Health insurance,,,,
Portland,Insomnia Coffee Company,Shift Leader,2017,2018,0,12.5,Hourly,8,PT,"Shift drink, Health care (very expensive), 12 oz bag of coffee/month",,,,
Seattle,Starbucks Reserve Roastery,Barista,2017,Current,6,19.38,Hourly,8,FT,"Health insurance, paid time off, vacation hours ",,,,
Seattle,Starbucks,Barista,2015,Current,0,16.1,Hourly,8,PT,,,,,
"Washington, D.C.",Peet's Coffee,Barista,2019,Current,,,Hourly,8,PT,None,,,,
"Washington, D.C.",Filter,Barista,2013,2015,,13,Hourly,8,FT,None,,,,
New York,Joe Coffee,Educator,2013,2018,4,18,Hourly,8.5,FT,Very expensive health insurance that no barista could afford,,,,I had to fight SO HARD to get to my final wage. As where multiple people hired for the same job kept being hired making more than me 
"Washington, D.C.",Residents DC,Barista,2019,Current,,15,Hourly,9,PT,None,,,,
Boston,Coffee & Cotton,Shift Leader,2015,,1,13,Hourly,10,FT,None,Female,,Queer,
Boston,Teatotaller Teahouse,Barista,2018,,0,9,Hourly,10,PT,None,,,,
Chicago,Allegro Coffee Roasters,Barista,2017,2018,,13.35,Hourly,10,FT,Medical/Dental/Vision,,,,
"New Haven, CT",Atticus Cafe,Barista,2017,2018,,11,Hourly,10,PT,None,,,,
New York,Infusion Coffee & Tea,Barista,2019,Current,4,10,Hourly,10,FT,None,Non-binary / non-comforming ,Caucasian ,Queer,"The shop is 55% direct trade to pay farmers what their coffee is worth. Why do I only make $10 an hour? and Why do they tell new hires that after tips we make $15-17/hr when that's just not true? 

Also, I don't feel safe coming out as trans in this workplace, so it generally feels unsafe for me but it's all I have right now. "
New York,Joe Coffee,Barista,2015,2016,4,9.5,Hourly,10,FT,None,,,,
New York,Allegro Coffee Roasters,Supervisor,2017,Current,1.5,19.74,Hourly,10,FT,"PTO, Health and Dental Insurance, 20% discount",Male,Black American,Bisexual,Been in supervisor position for almost two years. Company associated with Whole Foods and I worked in total with Whole Foods since February of 2015
Philadelphia,Saxbys,Barista,2019,Current,,9,Hourly,10,PT,None,,,,
Philadelphia,Jezabel's Cafe,Barista,2018,2018,,9,Hourly,10,PT,None,,,,
Philadelphia,Uncle Bobby's Cafe & Bookstore,Barista,2019,Current,,10,Hourly,10,PT,None,,,,
Philadelphia,Saxbys,Barista,2019,2019,,9,Hourly,10,PT,None,,,,
Portland,Nossa Familia Coffee,Barista,2018,,8,12,Hourly,10,PT,"Free coffee, that's it",,,,
Portland,Upper Left Roasters,Barista and cook,2018,2019,2.75,,Hourly,10,FT,"Shift meal, free coffee ",,,,
Seattle,Editora de cafe,Barista,2018,2019,0,400,Hourly,10,FT,Both,,,,
Seattle,Cups,Manager,2018,Current,4,26500,Salary,10,FT,half health insurance,,,,
Seattle,Atulea,Shift Leader,2018,Current,0,16,Hourly,10,FT,None,,,,
Seattle,Third culture coffee ,Barista,2019,Current,4,16,Hourly,10,FT,None,,,,
Seattle,Flying apron bakery,Barista,2019,Current,10,12,Hourly,10,PT,,,,,
Seattle,Intrigue chocolate co.,Barista,2017,2019,1,14,Hourly,10,FT,PTO,,,,
Seattle,Starbucks,Barista,2016,2018,0,13.5,Hourly,10,PT,"Well, pretty much all of the above ",,,,
"Washington, D.C.",Bar greens,Barista,2018,,,15,Hourly,10,PT,,,,,
Michigan,Social House,Lead Barista,2019,Current,13,15,Hourly,12,PT,None,,,,
New York,Everyman Espresso,Barista,2019,Current,3,14,Hourly,12,FT,,,,,
Philadelphia,Spread Bagelry,Barista,2011,2012,,11,Hourly,12,FT,None,,,,
Philadelphia,Metroplitan Bakery & Cafe,Barista,2018,2019,,9.5,Hourly,12,FT,None,,,,
Philadelphia,Menagerie,Barista,2018,2019,,10,Hourly,12,FT,None,,,,
Philadelphia,Old City Coffee,Barista,2016,2018,,8.5,Hourly,12,PT,PTO,,,,
Seattle,Blüm Extraction Bar,Barista,2019,Current,4,16,Hourly,12.5,PT,,,,,
Philadelphia,Starbucks,Shift Supervisor,2012,Current,,19.75,Hourly,13,PT,Full health,,,,
Seattle,Two coffee shops in portland,Barista,2016,Current,0,12,Hourly,13,PT,None,,,,
Michigan,Argus Farm Stop,Barista,2017,Current,0.5,10.7,Hourly,14,FT,"Accrued PTO, health stipend",,,,
Austin,Cafe Yolly,Barista,2015,2016,0,9,Hourly,15,PT,Discounted coffee,,,,
Austin,Creature Coffee,Barista,2019,Current,0.75,10,Hourly,15,PT,Free meal,,,,
Austin,Greater Goods,Barista,2018,Current,2,10,Hourly,15,FT,"Health insurance, meals/drinks comped, educational resources ",,,,
Austin,Idlewild,Barista,2018,,0,10,Hourly,15,PT,,,,,
Dallas Fort Worth,Center Cafe,Barista,2019,Current,3,12,Hourly,15,PT,None,,,,
Denver,Lost Coffee ,Barista,2019,2019,4,10.5,Hourly,15,PT,"Free food item if you couldn’t take a break, 20% off drinks. ",,,,
"Greenville, NC",The Village Grind,Barista,2018,2018,,9,Hourly,15,,None,,,,
Michigan,RoosRoast,Head Barista,2014,2017,0,12.5,Hourly,15,FT,None,Non-binary / non-comforming ,Caucasian ,Lesbian,
Michigan,Black Diesel Coffee,Shift Leader,2017,2019,1.5,10,Hourly,15,PT,None,,,,
New York,City of Saints Coffee Roasters,Barista,2017,Current,0,16,Hourly,15,FT,"Dental, medical, 401k.",,,,
New York,Joe Coffee,Barista,2019,2019,1,14,Hourly,15,PT,None,,,,
New York,Double Dutch Espresso,Barista,2019,Current,6,13,Hourly,15,FT,None,Non-binary / non-comforming ,Hispanic or Latinx,Queer,
Philadelphia,Gryphon,Roasting Assistant,2015,2016,,8.5,Hourly,15,FT,None,,,,
Philadelphia,Jezabel's Cafe,Shift Leader,2016,2017,,10.5,Hourly,15,PT,None,,,,
Philadelphia,Good Karma,Barista,2018,2018,,8,Hourly,15,PT,None,,,,
Philadelphia,Vault + Vine,Barista,2017,2019,,10,Hourly,15,PT,None,,,,
Philadelphia,Mammoth Coffee,Shift Leader,2018,2019,,8,Hourly,15,PT,None,,,,
Philadelphia,Tela's Market and Kitchen,Barista,2019,Current,,10,Hourly,15,PT,None,,,,
Philadelphia,Uncle Bobby's Cafe & Bookstore,Barista,2019,Current,,10,Hourly,15,PT,None,,,,
Philadelphia,Rival Brothers,Barista,2017,2017,,11.5,Hourly,15,PT,None,,,,
Philadelphia,DiBruno Brothers,Barista,2019,Current,,12,Hourly,15,PT,None,,,,
Philadelphia,Rival Brothers,Barista,2019,Current,,10,Hourly,15,PT,None,,,,
Philadelphia,Vault + Vine,Barista,2018,Current,,10.5,Hourly,15,FT,"PTO, some health care",,,,
Portland,Bread & Honey Cafe,Barista,2016,2018,6,12,Hourly,15,PT,None,,,,
San Francisco,Verve Coffee Roasters,Supervisor,2015,,7,14,Hourly,15,FT,Health- at cost,,,,
Seattle,Outside Coffee Co,Shift Leader,2018,,2,13,Hourly,15,FT,"30% off drinks, 1 free coffee a shift",,,,Left because of poor employee conditions with unhealthy boundaries and little pay.
Seattle,Broadcast,Barista,2019,2019,6,12,Hourly,15,FT,None,,,,
Seattle,Broadcast Coffee,Barista,2018,2018,10,13.5,Hourly,15,FT,None,,,,Wage theft
Seattle,Broadcast Coffee,Barista,2017,Current,13,11.75,Hourly,15,PT,"Orca pass, sick days, semi-weekly bag of coffee",,,,
"Washington, D.C.",The Coupe,Barista,2012,2016,,15,Hourly,15,PT,None,,Hispanic or Latinx,,
"Washington, D.C.",Lamplighter Coffee Roasters,Cashier,2015,Current,,12,Hourly,15,PT,None,,,,
Boston,L.A. Burdick Harvard square,Barista,2018,,0,12,Hourly,16,PT,,,,,
San Francisco,Verve Coffee Roasters,Shift Supervisor,2017,,0,13,Hourly,16,FT,"PTO, Health Insurance, Sick time",,,,
Seattle,Indi Chocolate ,Shift Leader,2019,Current,2,18,Hourly,16,FT,None,,,,
Seattle,Starbucks,Barista,2015,Current,0,16.1,Hourly,16,PT,"State-required sick leave, insurance at 20 hours (because other unionized baristas fought for it) 20hours vacation a year for part time",,,,
Chicago,Hero Coffee,Store Manager,2019,Current,,14,Hourly,17,FT,None,,,,
New York,Starbucks,Barista,2020,Current,0,11.5,Hourly,17,PT,,,,,
Philadelphia,DiBruno Brothers,Barista,2017,2019,,11,Hourly,17,FT,Health care,,,,
San Francisco,Bica Coffeehouse,Barista,2018,2018,0,13.8,Hourly,17,PT,Lol NONE,,,,
Michigan,Anthology Coffee,Barista,2019,Current,2,13.5,Hourly,17.5,PT,,,,,
Seattle,QED Coffee,Barista,2015,Current,14,15,Hourly,17.5,FT,None,,,,
Seattle,Hood Famous Cafe + Bar,Barista,2019,Current,0,12,Hourly,17.5,FT,None,,,,
Boston,D Squared Java,Barista,2017,Current,13,16,Hourly,18,FT,None,,,,
Portland,Jola Cafe,Barista,2019,Current,6,12.5,Hourly,18,FT,Shift meal ,,,,
"Washington, D.C.",Dolcezza,Barista,2014,Current,,10.5,Hourly,18,PT,Free coffee drink per shift,,,,
"Greenville, NC",Little River,Barista,,,,10,Hourly,18.5,,PTO,,,,
Seattle,Boon Boona Coffee ,Manager/Trainer,2019,Current,5,15.5,Hourly,18.75,FT,Pto and weekends off ,,,,
Austin,Brentwood Social House,Barista,2018,Current,5,8.5,Hourly,19,FT,"Free drip, one shift drink, employee discount -50%",,,,
Austin,Brentwood Social House,Barista,2018,Current,5,8.5,Hourly,19,FT,"Free drip, one shift drink, employee discount -50%",,,,
Philadelphia,Ultimo,Coffee Quality Manager,2017,2018,,10.25,Hourly,19,FT,None,,,,
Austin,Crema ,Shift Supervisor,2018,2019,0,9,Hourly,20,FT,"half off food, free drinks",,,,
Austin,Brentwood Social House,Barista,2016,Current,10,8,Hourly,20,PT,None,,,,
Austin,Revival,Barista,2016,2018,1.5,8.75,Hourly,20,PT,One free drink per shift ,,,,
Dallas Fort Worth,State Street Coffee,Barista,2019,Current,2,10.5,Hourly,20,PT,Comped meals + transportation to work (if Uber or bus) fees covered + can ask for personal coffee equipment + competition fees paid for ,,,,
Denver,Lost Coffee,Manager,2019,Current,5,12,Hourly,20,FT,just free coffee bi weekly.,,,,
Denver,Brew Culture Coffee,Barista,2018,,3,13,Hourly,20,FT,Some free coffee. ,,,,Aggressive behavior from other staff members/police activity and feeling unsafe/ responsibilities far and above my actual position with little intent on promotion 
"Greenville, NC",Crepe Du Jour,Lead Barista,2017,2018,,12.5,Hourly,20,,Counter Culture training,,,,
"Greenville, NC",Barista Alley,Assistant Manager,2017,2017,,8.5,Hourly,20,,None,,,,
"Greenville, NC",Methodical Coffee,Barista,2015,2016,,9,Hourly,20,,None,,,,
Michigan,Plum Market,Barista,2019,Current,1,12,Hourly,20,FT,"Accrued PTO, health insurance",,,,
Michigan,RoosRoast,Barista,2017,2018,0,10.5,Hourly,20,FT,Health Insurance,,,,
Michigan,Social House,Barista,2019,Current,3,10.5,Hourly,20,PT,None,,,,
Michigan,TeaHaus,Retail Clerk,2018,Current,3,12.25,Hourly,20,PT,None,,,,
Michigan,Atomic Coffee,Barista,2016,2016,5,10,Hourly,20,PT,None,Male,Caucasian ,Straight,
New York,Smoky hollow coffee roasters,General Manager,2018,Current,6,14.25,Hourly,20,PT,None,Female,Caucasian ,Lesbian,
Philadelphia,Jezabel's Cafe,Barista,2019,2019,,9.25,Hourly,20,PT,None,,,,
Philadelphia,Passero's,Shift Leader,2017,2019,,12,Hourly,20,PT,None,,,,
Philadelphia,Milk & Honey,Barista,2013,2014,,11,Hourly,20,FT,None,,,,
Philadelphia,La Colombe,Barista,2015,2016,,9,Hourly,20,FT,None,,,,
Philadelphia,DiBruno Brothers,Barista,2016,2017,,8.5,Hourly,20,FT,None,,,,
Philadelphia,Reanimator,Barista,2015,2017,,9,Hourly,20,FT,None,,,,
Philadelphia,Hermans,Barista,2017,2017,,10,Hourly,20,PT,None,,,,
Philadelphia,Jezabel's Cafe,Barista,2017,2018,,9.5,Hourly,20,PT,None,,,,
Philadelphia,Rally Coffee,Barista,2017,2018,,10,Hourly,20,PT,None,,,,
Philadelphia,Res Ipsa,Barista,2018,2018,,11,Hourly,20,PT,None,,,,
Philadelphia,Ultimo,Assistant Manager,2018,2019,,10.25,Hourly,20,FT,None,,,,
Philadelphia,Earth Cup Cafe,Barista,2018,2019,,10,Hourly,20,PT,None,,,,
Philadelphia,La Colombe,Barista,2018,2019,,9,Hourly,20,PT,None,,,,
Philadelphia,Green Line,Location Manager,2017,Current,,13.5,Hourly,20,FT,None,,,,
Philadelphia,Amalgam,Barista,2019,Current,,8,Hourly,20,PT,None,,,,
Philadelphia,Front Street Cafe,Barista,2019,Current,,9,Hourly,20,PT,None,,,,
Philadelphia,Steap and Grind,Barista,2019,Current,,10,Hourly,20,PT,None,,,,
Philadelphia,Passero's,Barista,2014,2016,,12,Hourly,20,FT,,,,,
Philadelphia,Gryphon,Barista,2019,Current,,10,Hourly,20,PT,,,,,
Portland,Water Avenue Coffee,Barista,2019,Current,6,13.5,Hourly,20,FT,"Bad ass co workers, Optional health insurance, yearly staff parties, pto, trip to origin, knowledge growth and development ",,,,
Portland,Either/Or,Barista,2016,2018,20,13.5,Hourly,20,FT,free beverage ,,,,
